%time;field.orientation.x;field.orientation.y;field.orientation.z;field.orientation.w;field.angular_velocity.x;field.angular_velocity.y;field.angular_velocity.z;field.linear_acceleration.x;field.linear_acceleration.y;field.linear_acceleration.z
1441927234767850000;-0.0028570223;0.0139538797;-0.4186486042;0.9080366033;-0.0012297157;0.0029081498;-0.0020150081;0.3964556277;0.166520422;8.6132666469
1441927234780780000;-0.002876282;0.0139533128;-0.418664309;0.9080293104;-0.0005825083;0.0007831431;-0.0010747229;0.3970694706;0.1991804313;8.6128887177
1441927234800850000;-0.002860312;0.0139460308;-0.4186725023;0.9080256949;-0.0018783077;0.0026143748;-0.0004004217;0.3964729324;0.2704374652;8.6977533937
1441927234820830000;-0.0028401951;0.0139271462;-0.4186729759;0.9080258296;-0.001288015;0.0020013484;-0.0008460116;0.3964981958;0.2537413508;8.6043283582
1441927234840840000;-0.0028364182;0.0139350946;-0.418680787;0.9080221178;0.000239147;0.0024671168;-0.0019373414;0.3965632528;0.1735815503;8.6135972619
1441927234860830000;-0.0028404434;0.0139467215;-0.4186963959;0.9080147294;0.0002216768;0.0035394454;-0.000150837;0.3969556026;0.1799984429;8.6149559379
1441927234880790000;-0.0028598254;0.0139461306;-0.4187041808;0.9080110879;-0.0009315524;0.0013741245;-0.0007062396;0.396710635;0.1812048081;8.6297658563
1441927234900770000;-0.0028793286;0.0139455147;-0.4187040462;0.9080110978;-0.001129677;0.0019585834;0.000605437;0.3950897232;0.18006538;8.6191382766
1441927234920810000;-0.0028915211;0.0139607462;-0.4187036937;0.9080109876;-0.0008552758;0.0025287235;-5.3239753745e-05;0.3954558603;0.1802006964;8.6112905502
1441927234940810000;-0.0029109025;0.0139601557;-0.4187114787;0.9080073448;-0.0010943498;0.0018948158;-0.0010403439;0.397085242;0.1804509394;8.6124774933
1441927234961260000;-0.0029029788;0.0139565018;-0.4187116005;0.9080073702;-0.0009427736;0.002029996;-6.98361569232e-05;0.3970274135;0.2635248508;8.6132193327
1441927234981310000;-0.0028954233;0.0139723994;-0.4187272515;0.9079999325;-0.001005896;0.0035564969;-0.0017197286;0.3959694527;0.1718743887;8.6130896568
1441927235001230000;-0.0029070028;0.01396813;-0.4187272387;0.9079999671;0.0011091305;0.0019452297;0.0004891302;0.3973662794;0.1798773646;8.61345824
1441927235021400000;-0.0029148046;0.0139718095;-0.4187350362;0.9079962896;-0.0005455599;0.0025565798;-0.0015222963;0.3954476826;0.1807367045;8.6133145452
1441927235041230000;-0.0029226068;0.0139754893;-0.4187428337;0.9079926119;-0.0012907988;0.0026352239;-7.71842887233e-05;0.3962309584;0.2138957214;8.6129079938
1441927235061190000;-0.0029383322;0.0139828233;-0.4187505091;0.9079889085;-0.0008841653;0.0014575198;-0.0007558402;0.3960516684;0.167671058;8.5970308781
1441927235081140000;-0.0029505234;0.0139980551;-0.4187501554;0.9079887974;-0.0004720966;0.0038817885;-4.97065506003e-05;0.396442923;0.1765574872;8.6071035385
1441927235101130000;-0.0029545475;0.0140096835;-0.4187657621;0.9079814073;-0.0003310962;0.0025325268;-0.0011046598;0.3965169974;0.1818662938;8.6156691551
1441927235121100000;-0.0029740503;0.0140090699;-0.4187656274;0.9079814152;-0.0011791411;0.001068607;-0.0001381338;0.3962792218;0.1787707936;8.6141521812
1441927235141430000;-0.0029739281;0.0140090959;-0.4187735467;0.9079777627;-0.0007231086;0.0033323352;-0.0007310516;0.3960911334;0.2484895878;8.611596632
1441927235161280000;-0.0029738054;0.0140091219;-0.4187814961;0.9079740963;-0.0024868947;0.0020172433;-0.0007946766;0.3960929953;0.184520907;8.6136545062
1441927235181330000;-0.0029968433;0.0140006108;-0.4187893907;0.9079705106;-0.0001232612;0.0007667015;-0.0014007346;0.3964600451;0.1761100654;8.613290596
1441927235201350000;-0.0030046446;0.0140042916;-0.4187971877;0.9079668317;-0.0004177569;0.0030841083;-0.0008924068;0.3957385041;0.1815620922;8.6132140756
1441927235221230000;-0.0030089116;0.0140158694;-0.4187969554;0.9079667461;-0.0015751212;0.0021147677;-0.0004709043;0.3973938428;0.177207838;8.6669945121
1441927235241680000;-0.0030282926;0.014015282;-0.41880474;0.9079631;0.0001511645;0.0001173653;-0.0007169866;0.3965008244;0.180421368;8.5934326649
1441927235261050000;-0.0030471855;0.0139951685;-0.4188049484;0.907963251;-0.0010543816;0.0007042731;-0.0003979289;0.3948457778;0.1956409045;8.6177982926
1441927235281210000;-0.0030356052;0.0139994367;-0.4188049604;0.9079632184;-0.0009686101;0.0021499783;0.0005177308;0.3811032757;0.2522749584;8.6134915352
1441927235301180000;-0.0030044003;0.014004344;-0.4188130259;0.9079595262;-0.0001270798;0.0021332237;-0.0011435368;0.3583607502;0.2483169604;8.6120656848
1441927235321220000;-0.0029690499;0.0139976478;-0.4188134048;0.907959571;0.0004831718;0.0021556862;0.0009665461;0.3805571914;0.260196029;8.6119126439
1441927235341290000;-0.0029452794;0.0139866832;-0.4188137711;0.9079596484;-0.0015824317;0.0017866153;-0.0008291186;0.4025470711;0.2417777848;8.6124821663
1441927235361010000;-0.0029530807;0.0139903637;-0.4188215681;0.9079559698;-3.31386682288e-05;0.002664914;-0.0002644164;0.4024590142;0.1679299898;8.6136066079
1441927235381450000;-0.0029530807;0.0139903637;-0.4188215681;0.9079559698;-0.0005643319;0.0026817145;5.63013974415e-05;0.3983887911;0.1815983992;8.6286560178
1441927235401200000;-0.0029768511;0.0140013285;-0.4188212017;0.9079558922;-0.0021900757;0.0019808976;-0.0003093591;0.396764411;0.1805878986;8.6188941121
1441927235421340000;-0.0029925761;0.0140086646;-0.4188288763;0.9079521872;-0.0006992609;0.0012504799;-0.0008310024;0.3969406344;0.1791863076;8.6196645737
1441927235441290000;-0.0030154909;0.014000182;-0.4188447201;0.9079449334;-0.0005625168;0.0020618578;-0.0005539688;0.3797609918;0.1794823132;8.6185068369
1441927235461310000;-0.003016466;0.0140392347;-0.4188598726;0.907937337;-0.0008141664;0.0017170697;-0.0018980549;0.307320118;0.1793783389;8.6052086353
1441927235481180000;-0.0030139058;0.0140861842;-0.4188669938;0.9079333331;-0.0005071903;0.0024264282;-2.7636997073e-05;0.3229605533;0.1810876727;8.6144868851
1441927235501210000;-0.0030180489;0.0140977887;-0.418874679;0.9079295936;-0.0005905554;0.0021450878;-0.000866574;0.4030128747;0.179731096;8.6127502799
1441927235521190000;-0.0030295062;0.0140935476;-0.4188825856;0.9079259736;-0.0006518078;0.0007754369;-0.0013668998;0.3881691135;0.1790052105;8.6133723736
1441927235541310000;-0.0030262113;0.0141210233;-0.4188979978;0.9079184469;-0.0008383865;0.0010479474;-0.0006191423;0.3726564556;0.1800040651;8.6132619739
1441927235561290000;-0.003041449;0.0141088346;-0.4188980964;0.90791854;-0.0006732357;0.0017940905;0.0001097345;0.3929733269;0.1946753815;8.6130849838
1441927235581140000;-0.0030254796;0.0141015497;-0.4189062613;0.9079149393;-0.0004634013;0.0024849615;-0.0010583563;0.3981413774;0.2550468531;8.6124628902
1441927235601600000;-0.0030253566;0.014101576;-0.41891418;0.9079112856;-0.0011927158;0.0023368024;0.0002826108;0.3980947569;0.1980023962;8.613118279
1441927235621250000;-0.0030216995;0.0141094978;-0.4189140692;0.9079112258;-0.0013907208;0.0041571154;-0.0008391858;0.3970375262;0.216736488;8.6128887177
1441927235641190000;-0.0029856186;0.0140833235;-0.4189227136;0.907907763;-7.05138049543e-05;0.0023056158;-0.0013138056;0.3976595104;0.2684632853;8.6122380018
1441927235661540000;-0.0029616045;0.0140724079;-0.4189389193;0.9079005332;-0.0003597868;0.0018573292;-0.0014394419;0.396259471;0.2607886974;8.595825243
1441927235681200000;-0.0029449049;0.0140456473;-0.4189553749;0.9078934085;-2.86285060482e-05;0.0003830963;-0.0018026521;0.396631705;0.2391913135;8.606323731
1441927235701200000;-0.0029246716;0.0140267819;-0.4189637707;0.9078898912;-0.0013864705;0.0020915433;8.55331296277e-05;0.3962410711;0.2512849752;8.614802897
1441927235721210000;-0.0028966381;0.0140042348;-0.4189643695;0.9078900528;-0.0004377685;0.0015628306;-0.0006576909;0.3971449323;0.2605806574;8.6479590297
